sentence,labels
Dua ne Adeel ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
Rana Shameem ne online Nikon camera order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Aaj Rabia Mariam ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Rameez apni dost ke sath Quetta jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC O O O O O
Fahad Waseem ne car kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
Kya tumne Yumna ka message dekha? woh Defense Phase II me hain and unreachable.,O O B-PER O O O O B-LOC I-LOC I-LOC O O O O
Adil kal Islamabaad Sector G-8 me match dekhne jaega; tickets book karlo.,B-PER O B-LOC I-LOC I-LOC O O O O O O O
"Noreen ka address: House No. 5,h Old Lahore; phone 042-111222333.",B-PER O O O O O O O B-PRODUCT O
Umar Dua ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
Rana ko USB phone pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
"Jab Zainab ghar pohoncha, usne dekha ke Javeria Yumna wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER I-PER O O O O O O O
"Adeel Khalil (jo Dr. hai) Korangi Industrial Area se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC I-LOC I-LOC O O O O O O O O
Arshad Minahil ne online car order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT O O O O O O O O O O
Subha subha Ahmed Islamabad pohoncha; phir hotel check-in ki aur rest liya.,O O B-PER B-LOC O O O O O O O O
"National University ka CEO Beenish Arsalan hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Qudsia Rana ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
Anam ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Ehsan aj HBL me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG O O O O O O O O
Sarfaraz Imran apni dost ke sath Model Town Lahore jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC I-LOC I-LOC O O O O O
Gulzar Laila kal Islamabad Sector G-8 me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC I-LOC I-LOC O O O O O O O
Shahroz library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Ahmed kal Defense Phase II me match dekhne jaega; tickets book karlo.,B-PER O B-LOC I-LOC I-LOC O O O O O O O
Erum Shahroz aj University me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG O O O O O O O O
"Shameem Javeria ne apna second-hand laptop sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O
"Adil Sania kal parso ko conference attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Aaj Usman ne project submit kiya; supervisor ne appreciate kiya.,O B-PER O O O O O O O O
"Jab Minahil ghar pohoncha, usne dekha ke Junaid wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER O O O O O O O
Bushra Khadija aur Khalid aj shopping mall gaye - parking paid thi.,B-PER I-PER O B-PER O O O O O O O O
"Hira Komal kal 15/08/2023 ko blood drive attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT I-EVENT O O O O O
Sarfaraz ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Junaid aur Ehsan aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER O O O O O O O O O
"Adeel Hira kal 25 Dec ko seminar attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE I-DATE O B-EVENT O O O O O
Iqra ne apni behn ke liye book kharida aur gift diya.,B-PER O O O O O B-PRODUCT O O O O
Khalid se Gujranwala jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
"Sufyan school ki meeting me shamil tha, principal ne bola.",B-PER O O O O O O O O O
Komal Umair ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
"Phone: camera, bought by Maria. Delivery expected next week.",O B-PRODUCT O O B-PER O O O O
"Rashid Mariam kal parso ko meeting attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
Saima Kashif ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
Veena Shanzay ko tablet pasand aaya lekin price zyada tha.,B-PER I-PER O B-PRODUCT O O O O O O
"Meeting: Metro Hospital, 3-Jan. Agenda: performance review.",O B-ORG I-ORG O O O O
Zainab Imran library me assignment likh rhi hti jab bijlia chali gayi.,B-PER I-PER O O O O O O O O O O
"PK Telecom ka CEO Hamza Ghazanfar hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER I-PER O O O O O O O O O
"Rabia Mariam ne apna laptop sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
Kal Qudsia Rana subha match me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT O O O O O O O
Zainab Maria apni dost ke sath Islamabad jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC O O O O O
"Pervaiz ne apna car sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT O O O O O O O O O
Rana ki company University ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG O O O O O O O O O O O
"Phone: second-hand laptop, bought by Khalil. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER O O O O
Kya tumne Tania Irfan ka message dekha? woh DHA Karachi me hain and unreachable.,O O B-PER I-PER O O O O B-LOC I-LOC O O O O
Rameez ki meeting 3-January ko City College me scheduled hai - confirm karo.,B-PER O O B-DATE O B-ORG I-ORG O O O O O O
Ali Haroon aur Javeria Umar aj shopping mall gaye - parking paid thi.,B-PER I-PER O B-PER I-PER O O O O O O O O
"Anam Ali ne kal Faisalabad se call ki aur bola, 'main latea aaon ga'.",B-PER I-PER O O B-LOC O O O O O O O O O
Bashir ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
"Phone: phone, bought by Imran. Delivery expected next week.",O B-PRODUCT O O B-PER O O O O
"Jab Farah Tania ghar pohoncha, usne dekha kea Ahmed Hafsa wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Sadia aur Samir Sana aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER I-PER O O O O O O O O O
Ehsan ko iPhone 12 pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
Nida se Faisalabad se wapas aa rha tha jab traffic jam ho gaya.,B-PER O B-LOC O O O O O O O O O O
'Agar tum aa sako to' Ghazanfar ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Aman Zain ko motorcycle pasand aaya lekin price zyada tha.,B-PER I-PER O B-PRODUCT O O O O O O
"Karachi Press ka CEO Owais hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
"Phone: car, bought by Zainab Maria. Delivery expected next week.",O B-PRODUCT O O B-PER I-PER O O O O
Shanzay Sara ke pass Faisalabad se wapas aa rha tha jab traffic jam ho gaya.,B-PER I-PER O O B-LOC O O O O O O O O O O
Sana Ehsan se Quetta se wapas aa rha tha jabh traffic jam ho gaya.,B-PER I-PER O B-LOC O O O O O O O O O O
Veena Shanzay ne camera ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT O O O O O
"Sadia ki shaadi 15/08/2023 ko hai, invitation sent.",B-PER O O B-DATE O O O O
Warda Beenish ki meeting aaj ko Metro Hospital me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG I-ORG O O O O O O
Arsalan se Old Lahore travel kar rhi hai; accommodation arranged.,B-PER O B-LOC I-LOC O O O O O O
"Fahad Danish (jo Dr. hai) Quetta se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC O O O O O O O O
"Kala meri class ka test hoga, jo important hoga.",O O O O O O O O O
Irfan Sara - Peshawar - aj; short note.,B-PER I-PER O B-LOC O O O O
'Agar tum aa sako to' Sana Ehsan ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Sana Ehsan kal Karachi me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
"Adeel Danish school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Adeel Khalil se Old Lahore travel kar rhi hai; accommodation arranged.,B-PER I-PER O B-LOC I-LOC O O O O O O
"Saima Kashif (jo Dr. hai) Model Town Lahore se wapas aaega, phir apna laptop check karega.",B-PER I-PER O O O B-LOC I-LOC I-LOC O O O O O O O O
Kya tumne Fatima ka message dekha? woh Rawalpindi me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Sajid library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
"Ehsan ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
Cyrus Bilqis aj Bank of Punjab me kaam krta hai aur meeting rakhni thi.,B-PER I-PER O B-ORG I-ORG I-ORG O O O O O O O O
Haroon Adeel -h DHA Karachi - aj; short note.,B-PER I-PER O B-LOC I-LOC O O O O
"Phone: tablet, bought by Komal Umair. Delivery expected next week.",O B-PRODUCT O O B-PER I-PER O O O O
Zubair ne car kharida lekin delivery dleay ho gayi.,B-PER O B-PRODUCT O O O O O O
"Meeting: Research Center, 3-Jan. Agenda: performance review.",O B-ORG I-ORG O O O O
Faisal ki company Metro Hospital ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
Tabish Beenish library me assignment likh rhi thi jab bijli chali gayi.,B-PER I-PER O O O O O O O O O O
"Jab Rabiya Nawal ghar pohoncha, usne dekha ke Nadia Junaid wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
"Ali Haroon aur unki team ne seminar organize kiya,a jisme staff shamil thay aur media cover karegi.",B-PER I-PER O O O O B-EVENT O O O O O O O O O O
"Ghazanfar Farah ki shaadi kal ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
Erum Shahroz university me khana kha rha tha.,B-PER I-PER O O O O O O
"Hamza Ghazanfar kal 3-January ko wedding attend karega, waqt 10:00 AM.",B-PER I-PER O B-DATE O B-EVENT O O O O O
"Phone: iPhone 12, bought by Rashid Vaseem. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER I-PER O O O O
Tania Irfan ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
"Arsalan Sufyan ne apna tablet sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
"Ahmed kal 3-Jan ko hackathon attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT O O O O O
Kal Ali subha final exam me jaega aur uske baad class hogi.,O B-PER O B-EVENT I-EVENT O O O O O O O
Aaj Maryam ne project submit kiya; supervisor ne appreciate kiya.,O B-PER O O O O O O O O
"Komal (jo Dr. hai) Korangi Industrial Area se wapas aaega, phir apna laptop check karega.",B-PER O O O B-LOC I-LOC I-LOC O O O O O O O O
'Agar tum aa sako to' Muzammil ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Rashid se Multan travel kar rhi hai; accommodation arranged.,B-PER O B-LOC O O O O O O
Gulzar Laila kal Gulberg me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
Tahir ne online book order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT O O O O O O O O O O
Aaj Fizza Sarfaraz ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
Junaid ki tabiyat theek nahi hai - doctor bula lo.h,B-PER O O O O O O O O O
Fatima ne hackathon attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
Kya tumne Bilqis Beenish ka message dekha? woh Faisalabad me hain and unreachable.,O O B-PER I-PER O O O O B-LOC O O O O
Arsalan aur Yumna aj market gaye thay; phir cafe me coffee pi.,B-PER O B-PER O O O O O O O O O
Saima Kashif ne motorcycle kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
Zainab ke pass Islamabad travel kar rhi hai; accommodation arranged.,B-PER O O B-LOC O O O O O O
"Sara ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
Arshad Minahil - Model Town Lahore - aj; short note.,B-PER I-PER O B-LOC I-LOC I-LOC O O O O
Saqib ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O B-DATE O O O O O O O O
Cyrus ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
Saima Kashif kal Karachi me match dekhne jaega; tickets book karlo.,B-PER I-PER B-DATE B-LOC O O O O O O O
Aaj Qudsia Rana ne project submit kiya; supervisor ne appreciate kiya.,O B-PER I-PER O O O O O O O O
'Agar tuma aa sako to' Nadia Haroon ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Qudsia Tahir ne Usman ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Sana ke pass North Karachi travel kar rhi hai; accommodation arranged.,B-PER O O B-LOC I-LOC O O O O O O
Adeel Hira aur Sufyan Sadia aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Hamza aur Ayesha aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
Tania ne online Nikon camera order kiya aur delivery pending hai - tracking shows delay.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Maryam ne Erum ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
Javeria Sana ne open house attend kiya aur report submit ki.,B-PER I-PER O B-EVENT I-EVENT O O O O O O
Fatima ne USB phone kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
"Jab Samir Sana ghar pohoncha, usne dekha ke Rumi Mira wahan pehle se maujood tha; dono gaye.",O B-PER I-PER O O O O O B-PER I-PER O O O O O O O
Irfan Sara ne online iPhone 12 order kiya aur delivery pending hai - tracking shows delay.,B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O O
Tabish ne electric scooter ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT I-PRODUCT O O O O O
"Luban Tahir ne kal Islamabad se call ki aur bola, 'main late aaon ga'.",B-PER I-PER O O B-LOC O O O O O O O O O
Kya Rabia Mariam ko pata hai ke Faisalabad me exam cancel hogaya? ye serious issue hai.,O B-PER I-PER O O O O B-LOC O O O O O O O O
Umar aur Rana aj shopping mall gaye - parking paid thi.,B-PER O B-PER O O O O O O O O
Irfan Sara ne electric scooter kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O O
Qudsia Tahir kal North Karachi me match dekhne jaega; tickets book karlo.a,B-PER I-PER O B-LOC I-LOC O O O O O O O
Kya Umair ko pata hai ke Multan me exam cancel hogaya? ye serious issue hai.,O B-PER O O O O B-LOC O O O O O O O O
Ahmed ki company HBL ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG O O O O O O O O O O O
"Umar ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
"Mere walid ki age bari hai, isliye huma fikr me hain.",O O O O O O O O O O O
Haroon Adeel ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER I-PER O O O O O O O O O O
Sarfaraz Imran ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
Kya tumne Gulzar Laila ka message dekha? woh Multan me hain and unreachable.,O O B-PER I-PER O O O O B-LOC O O O O
Omar ne concert attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
"Farhan school ki meeting me shamil tha, principal ne bola.",B-PER O O O O O O O O O
Qudsia Tahir ne camera kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT O O O O O O
"Minahil aur unki team ne seminar organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER O O O O B-EVENT O O O O O O O O O O
"Aftab Sajid ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER I-PER O O O O O O O O O
Kya Saima ko paata hai ke Peshawar me exam cancel hogaya? ye serious issue hai.,O B-PER O O O O B-LOC O O O O O O O O
Rimsha Rameez ne second-hand laptop ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Hafsa Ibrahim ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER I-PER O O O O O O O O O O
Qasim Omar se Quetta se wapas aa rha tha jab traffic jam ho gaya.,B-PER I-PER O B-LOC O O O O O O O O O O
Khadija se Model Town Lahore jaegi aur jakr parhai kregi.,B-PER O B-LOC I-LOC I-LOC O O O O O
PTCL ka office Korangi Industrial Area me hai; contact number 0300-1234567.,B-ORG O O B-LOC I-LOC I-LOC O O O O O
Ali kal Quetta me match dekhne jaega; tickets book karlo.,B-PER O B-LOC O O O O O B-PRODUCT O
Owais ne seminar attend kiya aur report submit ki.,B-PER O B-EVENT O O O O O O
"Phone: motorcycle, bought by Khadija Rashid. Delivery expected next week.",O B-PRODUCT O O B-PER I-PER O O O O
"Sajida ki shaadi 3-January ko hai, invitation sent.",B-PER O O B-DATE O O O O
Waseem Sajid kal Faisalabad me match dekhne jaega; tickets book karlo.,B-PER I-PER O B-LOC O O O O O O O
Maryam kal North Karachi me match dekhne jaega; tickets book karlo.,B-PER O B-LOC I-LOC O O O O O O O
Asad se Faisalabad jaegi aur jakr parhai kregi.,B-PER O B-LOC O O O O O
Hafsa Ibrahim ki meeting parso ko Careem me scheduled hai - confirm karo.,B-PER I-PER O O B-DATE O B-ORG O O O O O O
Arsalan Lubna ne Irfan Saqib ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER I-PER O O O O O O O
"Kashif ka address: House No. 5, Old Lahore; phone 042-111222333.",B-PER O O O O O O O O O
"Phone: car, bought by Noman Gulzar. Delivery expected next week.",O B-PRODUCT O O B-PER I-PER O O O O
Ali ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Ahmed Shahroz aur Javeria aj market gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER O O O O O O O O O
"Tahir kal 25-December ko hackathon attend karega, waqt 10:00 AM.",B-PER O B-DATE O B-EVENT O O O O O
"Adeel Hira school ki meeting me shamil tha, principal ne bola.",B-PER I-PER O O O O O O O O O
Ibrahim - Gujranwala - aj; short note.,B-PER O B-LOC O O O O
Sajida Zubair ne tablet ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT O O O O O
Erum ne apna iPhone 12 repair karwaya par abhi faulty hai.,B-PER O O B-PRODUCT I-PRODUCT O O O O O O
Areeba ne USB phone kharida lekin delivery delay ho gayi.,B-PER O B-PRODUCT I-PRODUCT O O O O O O
Vaseem apni dost ke sath Old Lahore jaegi kyunkia shopping zaroori thi.,B-PER O O O O B-LOC I-LOC O O O O O
Veena ki meeting 15/08/2023 ko PK Telecom me scheduled hai - confirm karo.,B-PER O O B-DATE O B-ORG I-ORG O O O O O O
Karachi Press ka office Gujranwala me hai; contact number 0300-1234567.,B-ORG I-ORG O O B-LOC O O O O O
Subhan ki company Research Center ke sath partnership sign kar rahi hai; press release will follow.,B-PER O O B-ORG I-ORG O O O O O O O O O O O
Noman Gulzar ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER I-PER O O O O O O O O O O
"Meeting: Sindh Education Board, 3-Jan. Agenda: performance review.",O B-ORG I-ORG I-ORG O O O O
Minahil ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Rabiya ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Bashir Samir - North Karachi - aj; short note.,B-PER I-PER O B-LOC I-LOC O O O O
"Umair ne kal Old Lahore se call ki aur bola, 'main late aaon ga'.",B-PER O O B-LOC I-LOC O O O O O O O O O
Junaid Pervaiz ne apni behn ke liye phone kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
Khalil Laila ne Gulzar ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER O O O O O O O
Rimsha Rameez ne second-hand laptop kharida lekin delivery delay ho gayi.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O O
Laila Danish ne apna camera repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
'Agar tum aa sako to' Rana Arsalan ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Kal Adeel Khalil subha open house me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT I-EVENT O O O O O O O
"Fahad aur unki team ne conference organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER O O O O B-EVENT O O O O O O O O O O
Areeba se North Karachi se wapas aa rha tha jab traffic jam ho gaya.,B-PER O B-LOC I-LOC O O O O O O O O O O
'Agar tum aa sako to' Irfan ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Umar Dua ki tabiyat theek nahi hai - doctor bula lo.,B-PER I-PER O O O O O O O O O
"Anam Shameem ne kal Lahore se call ki aur bola, 'main late aaon ga'.",B-PER I-PER O O B-LOC O O O O O O O O O
"Fizza Sarfaraz ki shaadi subha ko hai, invitation sent.",B-PER I-PER O O B-DATE O O O O
"Mira Owais ne apna car sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
Saima library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
"Hassan aur unki team ne open house organize kiya, jisme staff shamil thay aur media cover karegi.",B-PER O O O O B-EVENT I-EVENT O O O O O O O O O O
Cyrus Bilqis aur Nadia Junaid aj shopping mall gaye - parking paid thi.,B-PER I-PER O B-PER I-PER O O O O O O O O
Mira Owais ki company HBL ke sath partnership sign kar rahi hai; press release will follow.,B-PER I-PER O O B-ORG O O O O O O O O O O O
"Haroon Adeel ne apna motorcycle sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT O O O O O O O O O
"Phone: car, bought by Irfan Sara. Delivery expected next week.",O B-PRODUCT O O B-PER I-PER O O O O
Noman ko book pasand aaya lekin price zyada tha.,B-PER O B-PRODUCT O O O O O O
Bank of Punjab ka office Gujranwala me hai; contact number 0300-1234567.,B-ORG I-ORG I-ORG O O B-LOC O O O O O
Bilqis Beenish ne conference attend kiya aur report submit ki.,B-PER I-PER O B-EVENT O O O O O O
Nida ne Ghazanfar ko birthday wish ki via WhatsApp message.,B-PER O B-PER O O O O O O O
Priya library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Kal Sufyan Sadia subha open house me jaega aur uske baad class hogi.,O B-PER I-PER O B-EVENT I-EVENT O O O O O O O
Komal fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER O O O O O O O O O
Beenish Arsalan ne apni behn ke liye car kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
'Agar tum aa sako to' Danish ne kaha 'kal subha hi chalein'.,O O O O O B-PER O O O O O O
Qudsia Tahir ne kaha: 'Main 15-Aug ko wapas aaon ga.' aur sab hans pade.,B-PER I-PER O O O O O O O O O O O O
Aftab ne kaha: 'Main 15-Aug koa wapas aaon ga.' aur sab hans pade.,B-PER O O O O O O O O O O O O
Danish aur Rimsha Noreen aj shopping mall gaye - parking paid thi.,B-PER O B-PER I-PER O O O O O O O O
Sajid apnia dost ke sath Peshawar jaegi kyunki shopping zaroori thi.,B-PER O O O O B-LOC O O O O O
"Sindh Education Board ka CEO Ahmed Hafsa hai aur woh aaj press conference karenge,h media invited.",B-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O O O O
Shameem library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
Qasim Omar ko tablet pasand aaya lekin price zyada tha.,B-PER I-PER O B-PRODUCT O O O O O O
Adil Sania ne apna car repair karwaya par abhi faulty hai.,B-PER I-PER O O B-PRODUCT O O O O O O
Subhan ne Bank of Punjab me job start ki aur onboarding chal rahi hai.,O O B-ORG I-ORG I-ORG O O O O O O O O O
Kya tumne Khadija ka message dekha? woh Quetta me hain and unreachable.,O O B-PER O O O O B-LOC O O O O
Kya tumne Sana Ehsan ka message dekha? woh Pindi Cantt me hain and unreachable.,O O B-PER I-PER O O O O B-LOC I-LOC O O O O
"Adeel Hira ne Omar ko second-hand laptop gift kiya, dono khush.",B-PER I-PER O B-PER O B-PRODUCT I-PRODUCT O O O O
Nadia Sania ne Farah Tania ko birthday wish ki via WhatsApp message.,B-PER I-PER O B-PER I-PER O O O O O O O
Arsalan Sufyan aur Nida Rimsha aj mraket gaye thay; phir cafe me coffee pi.,B-PER I-PER O B-PER I-PER O O O O O O O O O
Ahmed ne Nikon camera ghar bheja; tracking no. ABC123.,B-PER O B-PRODUCT I-PRODUCT O O O O O
Rabiya Nawal fruit bana rhi hai kyunki unko healthy rehna hai.,B-PER I-PER O O O O O O O O O
Khadija ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Khalil Laila ne second-hand laptop ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Irfan Sara se Multan travel kar rhi hai; accommodation arranged.,B-PER I-PER O B-LOC O O O O O O
"Research Center ka CEO Rana hai aur woh aaj press conference karenge, media invited.",B-ORG I-ORG O O B-PER O O O O O O O O O
Beenish Arsalan ke pass Quetta jaegi aur jakr parhai kregi.,B-PER I-PER O O B-LOC O O O O O
Maria library me assignment likh rhi thi jab bijli chali gayi.,B-PER O O O O O O O O O O
"Jab Sana ghar pohoncha, usne dekha ke Noor wahan pehle se maujood tha; dono gaye.",O B-PER O O O O O B-PER O O O O O O O
Warda Beenish ne Nikon camera ghar bheja; tracking no. ABC123.,B-PER I-PER O B-PRODUCT I-PRODUCT O O O O O
Arsalan Bushra ne apni behn ke liye phone kharida aur gift diya.,B-PER I-PER O O O O O B-PRODUCT O O O O
"Saima Kashif ne apna iPhone 12 sell kar diya aur naya phone liya, refund pending.",B-PER I-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O
"Gulzar ne apna iPhone 12 sell kar diya aur naya phone liya, refund pending.",B-PER O O B-PRODUCT I-PRODUCT O O O O O O O O O
'Agar tum aa sako to' Veena Shanzay ne kaha 'kal subha hi chalein'.,O O O O O B-PER I-PER O O O O O O
Bank of Punjab (North Branch) ne notice issue ki - please read.,B-ORG I-ORG I-ORG O O O O O O O O O
Kya tumne Shanzay Zainab ka message dekha? woh Islamabad Sector G-8 me hain and unreachable.,O O B-PER B-PER O O O O B-LOC I-LOC I-LOC O O O O
Javeria ki tabiyat theek? kal check karwalo; doctor appointment set hai.,B-PER O O O O O O O O O O
Beenish aj Research Center me kaam krta hai aur meeting rakhni thi.,B-PER O B-ORG I-ORG O O O O O O O O
Bushra ki tabiyat theek nahi hai - doctor bula lo.,B-PER O O O O O O O O O
"Phone: iPhone 12, bought by Rameez. Delivery expected next week.",O B-PRODUCT I-PRODUCT O O B-PER O O O O
Ali Haroon apni dost ke sath Gulberg jaegi kyunki shopping zaroori thi.,B-PER I-PER O O O O B-LOC O O O O O
